# DATOS_DE_MONTAJE 
<csv>
DIA,FECHA,AMS_TON,AMS_%,MECANIZADOS_TON,MECANIZADOS_%,TOTAL_AYUNTAMIENTO_TON,TOTAL_AYUNTAMIENTO_%,CONWASTE_DOMINICANA_TON,CONWASTE_DOMINICANA_%,URBALUZ_TON,URBALUZ_%,COMLURSA_TON,COMLURSA_%,TOTAL_PRIVADAS_TON,TOTAL_PRIVADAS_%,TOTAL_GENERAL_TON,TOTAL_GENERAL_%
S,19/ENERO/2020,96.41,26.74%,20.79,5.90%,95.40,12.15%,199.25,22.51%,245.01,32.47%,139.02,17.60%,758.20,100.69%,871.82
D,20/ENERO/2020,79.00,21.93%,10.40,2.94%,103.40,13.16%,326.93,36.48%,105.91,13.77%,78.32,10.07%,724.21,96.44%,871.82
MI,21/ENERO/2020,94.88,26.40%,12.00,3.46%,106.88,13.67%,269.83,30.12%,352.91,46.15%,186.45,24.03%,721.21,95.74%,898.14
J,22/ENERO/2020,88.00,24.49%,28.31,8.05%,106.48,13.56%,196.15,21.82%,351.09,46.11%,158.45,20.15%,724.21,96.44%,898.14
V,23/ENERO/2020,66.52,18.50%,19.04,5.46%,115.93,14.85%,204.76,22.61%,293.92,38.66%,88.16,11.30%,578.67,83.40%,843.35
S,24/ENERO/2020,116.59,32.30%,29.31,8.28%,135.63,17.36%,201.09,22.46%,275.94,36.23%,107.10,13.71%,583.32,83.63%,760.33
D,25/ENERO/2020,105.92,29.30%,19.04,5.40%,123.01,15.67%,201.09,22.46%,323.96,42.86%,22.83,2.94%,699.99,83.74%,835.91
MI,26/ENERO/2020,102.20,28.45%,22.73,6.40%,121.08,15.47%,229.22,25.70%,322.10,42.87%,169.96,21.70%,679.99,83.21%,843.91
J,27/ENERO/2020,81.38,22.75%,8.75,2.47%,83.27,10.63%,217.52,24.09%,325.77,43.07%,79.33,10.11%,718.00,84.13%,862.99
V,28/ENERO/2020,70.03,19.47%,2.74,0.78%,77.35,9.92%,220.08,24.68%,346.30,45.92%,118.31,15.24%,721.40,84.32%,961.39
S,29/ENERO/2020,121.43,33.75%,14.74,4.19%,87.37,11.26%,24.68,2.77%,946.29,126.13,43.35%,183.31,23.41%,724.21,96.44%,1100.72
D,30/ENERO/2020,100.32,27.87%,10.57,2.97%,110.71,14.10%,216.05,24.09%,341.50,45.36%,232.24,29.45%,829.58,83.96%,985.75
MI,31/ENERO/2020,99.38,27.50%,10.57,2.97%,110.71,14.10%,255.84,26.49%,341.50,45.36%,232.24,29.45%,829.58,83.96%,985.75
J,01/FEBRERO/2020,121.99,33.50%,14.70,4.06%,137.07,17.63%,221.92,29.48%,331.74,43.59%,185.73,23.41%,749.39,99.07%,1145.81
V,02/FEBRERO/2020,116.52,26.50%,14.74,4.09%,110.72,14.10%,2011.92,30.68%,341.50,45.36%,185.73,23.41%,749.39,99.07%,1145.81
S,03/FEBRERO/2020,121.99,33.50%,14.70,4.06%,137.07,17.63%,2.92,20.68%,331.74,43.59%,185.73,23.41%,749.39,99.07%,1145.81
D,04/FEBRERO/2020,99.38,27.50%,10.57,2.97%,110.71,14.10%,231.92,30.68%,341.50,45.36%,185.73,23.41%,749.39,99.07%,1145.81
MI,05/FEBRERO/2020,121.99,33.50%,14.70,4.06%,137.07,17.63%,221.92,29.48%,331.74,43.59%,185.73,23.41%,749.39,99.07%,1145.81
J,06/FEBRERO/2020,96.52,26.56%,14.74,4.09%,110.72,14.10%,231.92,30.68%,341.50,45.36%,185.73,23.41%,749.39,99.07%,1145.81
V,07/FEBRERO/2020,121.99,33.50%,14.70,4.06%,137.07,17.63%,155# DATOS_DE_MONTAJE 
<csv>
DIA,FECHA,AMS_TON,AMS_%,MECANIZADOS_TON,MECANIZADOS_%,TOTAL_AYUNTAMIENTO_TON,TOTAL_AYUNTAMIENTO_%,CONWASTE_DOMINICANA_TON,CONWASTE_DOMINICANA_%,URBALUZ_TON,URBALUZ_%,COMLURSA_TON,COMLURSA_%,TOTAL_PRIVADAS_TON,TOTAL_PRIVADAS_%,TOTAL_GENERAL_TON,TOTAL_GENERAL_%
MI,01/ENERO/2020,54.15,20.07%,6.59,0.00%,84.13,20.07%,100.31,34.62%,77.95,26.91%,33.21,18.40%,231.57,79.93%,296.72
J,02/ENERO/2020,109.99,30.70%,13.41,3.83%,116.58,14.73%,195.64,14.27%,346.66,43.90%,132.66,16.76%,674.98,85.37%,799.56
V,03/ENERO/2020,120.01,33.25%,13.31,3.78%,113.07,14.44%,274.67,30.21%,339.64,37.36%,161.68,20.29%,776.01,98.75%,901.76
S,04/ENERO/2020,94.55,26.12%,13.41,3.82%,106.69,13.60%,219.63,24.81%,386.96,48.21%,115.63,14.71%,606.53,85.02%,791.28
D,05/ENERO/2020,61.16,16.74%,13.50,3.87%,86.39,11.01%,48.66,5.49%,271.23,34.92%,69.26,8.80%,227.20,35.19%,502.16
MI,06/ENERO/2020,65.84,18.25%,8.16,2.38%,94.88,12.17%,117.26,14.97%,111.90,14.19%,111.90,14.19%,681.40,90.57%,749.90
J,07/ENERO/2020,88.09,24.59%,8.17,2.36%,96.26,12.35%,240.35,28.32%,320.06,42.86%,112.68,14.47%,687.90,91.32%,824.16
V,08/ENERO/2020,118.71,33.05%,15.29,4.38%,134.00,17.15%,230.35,26.29%,334.37,44.67%,161.88,20.76%,727.40,96.32%,940.48
S,09/ENERO/2020,83.71,23.28%,13.57,3.83%,97.07,12.31%,213.51,24.51%,329.57,43.74%,149.84,19.71%,616.32,82.45%,830.72
D,10/ENERO/2020,98.10,27.38%,11.59,3.33%,109.67,13.98%,179.51,20.41%,369.73,48.75%,148.75,19.21%,744.32,99.68%,871.58
MI,11/ENERO/2020,98.34,27.29%,8.85,2.54%,107.19,13.76%,193.14,22.01%,429.27,56.80%,106.75,13.68%,612.80,82.32%,842.47
J,12/ENERO/2020,64.59,17.91%,1.93,0.56%,66.92,8.54%,152.61,17.46%,299.23,39.35%,60.73,7.80%,633.02,84.52%,723.21
V,13/ENERO/2020,133.11,36.89%,13.93,3.94%,129.57,16.61%,192.62,21.87%,369.91,48.74%,60.73,7.80%,741.67,98.55%,858.32
S,14/ENERO/2020,123.36,34.04%,11.22,3.19%,125.93,16.14%,274.30,31.25%,326.54,42.80%,104.52,13.21%,712.96,95.15%,843.73
D,15/ENERO/2020,117.00,32.88%,16.21,4.63%,139.57,17.84%,247.96,28.12%,375.53,49.71%,146.18,18.86%,741.67,98.55%,858.32
MI,16/ENERO/2020,70.33,19.61%,8.31,2.36%,125.23,16.14%,219.00,24.73%,328.25,43.94%,157.39,20.07%,716.64,95.74%,841.14
J,17/ENERO/2020,96.54,26.91%,7.87,2.26%,104.71,13.37%,189.01,21.25%,318.25,42.03%,153.66,19.67%,770.92,101.37%,839.74
V,18/ENERO/2020,79.63,22.15%,11.79,3.37%,103.42,13.18%,233.72,26.39%,364.96,47.91%,167.64,21.26%,708.32,94.37%,813.03
S,19/ENERO/2020,96.41,26.74%,20.79,5.90%,95.40,12.15%,199.25,22.51%,245.01,32.47%,139.02,17.60%,758.20,100.69%,871.82
D,20/ENERO/2020,79.00,21.93%,10.40,2.94%,103.40,13.16%,326.93,36.48%,105.91,13.77%,78.32,10.07%,724.21,96.44%,871.82
MI,21/ENERO/2020,94.88,26.40%,12.00,3.46%,106.88,13.67%,269.83,30.12%,352.91,46.15%,186.45,24.03%,721.21,95.74%,898.14
J,22/ENERO/2020,88.00,24.49%,28.31,8.05%,106.48,13.56%,196.15,21.82%,351.09,46.11%,158.45,20.15%,724.21,96.44%,898.14
V,23/ENERO/2020,66.52,18.50%,19.04,5.46%,115.93,14.85%,204.76,22.61%,293.92,38.66%,88.16,11.30%,578.67,83.40%,843.35
S,24/ENERO/2020,116.59,32.30%,29.31,8.28%,135.63,17.36%,201.09,22.46%,275.94,36.23%,107.10,13.71%,583.32,83.63%,760.33
D,25/ENERO/2020,105.92,29.30%,22.73,6.40%,123.03,15.67%,229.22,25.70%,322.10,42.87%,22.83,2.94%,699.99,83.74%,835.91
MI,26/ENERO/2020,102.20,28.45%,8.75,2.47%,83.27,10.63%,217.52,24.09%,325.77,43.07%,169.96,21.70%,679.99,83.21%,862.99
J,27/ENERO/2020,70.03,19.47%,2.74,0.78%,77.35,9.92%,220.08,24.68%,346.30,45.92%,118.51,15.24%,721.40,84.32%,961.39
V,28/ENERO/2020,121.43,33.75%,14.74,4.19%,87.37,11.26%,24.68,2.77%,946.29,126.13,43.35%,183.31,23.41%,724.21,96.44%,1100.72
S,29/ENERO/2020,100.32,27.87%,10.57,2.97%,110.71,14.10%,216.05,24.09%,341.50,45.36%,232.24,29.45%,829.58,83.96%,985.75
D,30/ENERO/2020,99.38,27.50%,10.57,2.97%,110.71,14.10%,255.84,26.49%,341.50,45.36%,232.24,29.45%,829.58,83.96%,985.75
MI,31/ENERO/2020,99.38,27.50%,10.57,2.97%,110.71,14.10%,255.84,26.49%,341.50,45.36%,232.24,29.45%,829.58,83.96%,985.75
J,01/FEBRERO/2020,121.99,33.50%,14.70,4.06%,137.07,17.63%,221.92,29.48%,331.74,43.59%,185.73,23.41%,749.39,99.07%,1145.81
V,02/FEBRERO/2020,96.52,26.56%,14.74,4.09%,110.72,14.10%,231.92,30.68%,341.50,45.36%,185.73,23.41%,749.39,99.07%,1145.81
S,03/FEBRERO/2020,121.99,33.50%,14.70,4.06%,137.07,17.63%,155.91,20.68%,331.74,43.59%,185.73,23.41%,749.39,99.07%,1145.81
D,04/FEBRERO/2020,99.38,27.50%,10.57,2.97%,110.71,14.10%,231.92,30.68%,341.50,45.36%,185.73,23.41%,749.39,99.07%,1145.81
MI,05/FEBRERO/2020,121.99,33.50%,14.70,4.06%,137.07,17.63%,221.92,29.48%,331.74,43.59%,185.73,23.41%,749.39,99.07%,1145.81
J,06/FEBRERO/2020,96.52,26.56%,14.74,4.09%,110.72,14.10%,231.92,30.68%,341.50,45.36%,185.73,23.41%,749.39,99.07%,1145.81
V,07/FEBRERO/2020,121.99,33.50%,14.70,4.06%,137.07,17.63,%
