DIA,FECHA,AMS(TON,%),MECANICADOS(TON,%),TOTAL_AYUDANTES(TON,%),CONWASTE_DOMINICANA(TON,%),URBAALLZ(TON,%),COMLURSA(TON,%),TOTAL_PRIVADAS(TON,%),TOTAL_GENERAL(TON,%)
V,10/OCTUBRE/2019,89.51,11.35%,1.92,0.24%,91.43,11.35%,184.90,22.97%,310.64,38.31%,166.54,20.80%,79.64,9.82%,839.73,102.66%
S,11/OCTUBRE/2019,104.44,13.31%,16.21,2.03%,120.65,14.99%,216.38,26.53%,327.33,40.22%,174.29,21.69%,79.64,9.82%,839.65,102.66%
D,12/OCTUBRE/2019,84.51,10.70%,4.31,0.54%,88.82,10.99%,184.60,22.57%,313.35,38.32%,153.29,19.04%,79.64,9.82%,839.73,102.66%
M,13/OCTUBRE/2019,53.50,6.79%,3.83,0.48%,57.33,7.12%,198.06,24.54%,232.69,28.72%,139.40,17.29%,79.64,9.82%,731.66,90.11%
MI,14/OCTUBRE/2019,110.59,14.02%,3.58,0.45%,114.17,14.27%,221.79,27.56%,324.09,39.73%,136.50,16.79%,79.58,9.82%,844.58,103.11%
J,15/OCTUBRE/2019,95.11,12.16%,11.04,1.39%,106.48,13.27%,262.77,32.42%,381.91,46.94%,176.50,21.73%,79.20,9.82%,841.26,103.11%
V,16/OCTUBRE/2019,110.77,14.09%,6.05,0.83%,116.82,14.60%,214.75,26.40%,335.75,41.24%,143.40,17.54%,64.90,8.00%,720.14,89.20%
S,17/OCTUBRE/2019,102.43,13.09%,6.83,0.86%,109.26,13.67%,194.39,24.10%,306.73,37.47%,124.28,15.38%,67.58,8.40%,844.00,103.11%
D,18/OCTUBRE/2019,110.77,14.09%,15.41,1.94%,126.18,15.71%,254.17,31.37%,395.75,48.60%,151.16,18.61%,67.58,8.40%,844.00,103.11%
M,19/OCTUBRE/2019,80.34,10.22%,11.86,1.49%,92.56,11.47%,207.89,25.65%,316.31,38.75%,160.18,19.65%,79.66,9.82%,815.25,100.44%
MI,20/OCTUBRE/2019,82.73,10.49%,2.74,0.34%,85.47,10.64%,238.57,29.47%,330.65,40.15%,141.16,17.26%,92.49,11.56%,812.23,100.44%
J,21/OCTUBRE/2019,106.00,13.47%,11.75,1.47%,117.96,14.66%,279.87,34.68%,346.23,42.31%,157.94,19.32%,89.11,11.06%,672.24,83.12%
V,22/OCTUBRE/2019,110.69,14.09%,1.27%,0.16%,107.96,13.46%,250.91,30.93%,338.64,41.53%,156.11,19.13%,79.66,9.82%,696.18,85.44%
S,23/OCTUBRE/2019,117.19,14.92%,9.78,1.22%,117.00,14.63%,248.33,30.60%,338.38,41.45%,147.29,18.16%,79.66,9.82%,962.79,118.29%
D,24/OCTUBRE/2019,95.21,12.13%,7.79,0.97%,103.00,12.86%,218.10,26.78%,311.30,38.07%,172.40,21.08%,79.66,9.82%,829.78,101.56%
M,25/OCTUBRE/2019,115.49,14.76%,11.60,1.45%,124.59,15.62%,208.84,25.67%,296.91,36.57%,167.44,20.45%,78.72,9.73%,856.29,104.44%
MI,26/OCTUBRE/2019,93.43,11.97%,8.53,1.08%,101.96,12.82%,237.97,29.00%,314.19,38.49%,163.13,19.84%,79.31,9.82%,779.59,94.73%
J,27/OCTUBRE/2019,89.19,11.40%,2.80,0.35%,92.99,11.63%,203.99,25.04%,321.37,39.14%,112.10,13.70%,56.10,7.00%,844.06,102.22%
V,28/OCTUBRE/2019,93.43,11.97%,3.73,0.47%,97.16,12.10%,224.60,27.67%,314.19,38.49%,114.10,14.17%,56.10,7.00%,844.06,102.22%
S,29/OCTUBRE/2019,92.25,11.87%,1.27,0.16%,94.52,11.83%,201.30,24.60%,330.48,40.15%,130.46,16.03%,56.46,7.16%,845.59,103.11%
D,30/OCTUBRE/2019,112.19,14.30%,9.21,1.17%,121.40,15.27%,230.96,28.39%,327.71,39.74%,151.18,18.63%,79.39,9.82%,833.33,102.22%
M,31/OCTUBRE/2019,105.96,13.06%,10.98,1.38%,116.91,14.64%,231.81,28.71%,328.25,39.74%,155.43,19.16%,71.93,9.00%,831.00,101.56%
TOTALES, ,2755.23,12.62%,257.65,1.18%,3012.88,13.80%,6192.73,28.36%,8358.57,38.28%,4271.99,19.56%,18823.99,100.00%,21386.17,100.00%
DIAS TRABAJADOS, ,29.00, ,29.00,29.00,31.00,30.00,142.40,30.00,607.00,31.00,704.39,31.00%
PROMEDIO DIARIO, ,95.01, ,103.89,199.77,278.62,142.96,142.40,610.40,707.10,100.00%
PROCENTAJE, ,12.62%, ,1.18%,13.80%,25.36%,38.28%,19.56%,100.00%,86.20%,100.00%
